Backup_ID,Original_Trial_ID,source,outcome_variable,outcome_role,group,n_nonmissing,n_missing,mean,variance,sd,median,min,max,note
B13,94,backup_cleaned_csv,YS_subjective_stress_overall,secondary,MonitorAccept,55,3.0,48.533333,488.853292,22.110027,49.0,0.0,97.166667,Current backup cleaned file summary by Treatment.
B13,94,backup_cleaned_csv,YS_subjective_stress_overall,secondary,MonitorOnly,54,4.0,48.518519,629.540531,25.090646,45.916667,0.0,100.0,Current backup cleaned file summary by Treatment.
B12,90,B12_primary_outcome_workbook,YP_recruitment_included_rate,primary,screened/contacted,51,,0.352941,,,,,,18/51. Recomputed from Feasibility - Recruitment sheet; YES rows among contacted/screened rows.
B12,90,B12_primary_outcome_workbook,YS_recruitment_declined_or_ineligible_rate,secondary,screened/contacted,51,,0.647059,,,,,,33/51. Recomputed from Feasibility - Recruitment sheet; NO rows among contacted/screened rows.
B12,90,B12_primary_outcome_workbook,YP_adherence_relative_weekly_average_percent,primary,intervention_participants,10,0.0,82.611111,139.166667,11.796892,86.666667,60.0,98.333333,"Recomputed from relative [%] rows, weekly Average column."
B12,90,B12_primary_outcome_workbook,YS_adherence_absolute_total,secondary,intervention_participants,10,0.0,47.5,402.944444,20.073476,51.5,6.0,80.0,"Recomputed from absolute rows, Total column."
B12,90,B12_primary_outcome_workbook,YP_compliance_relative_weekly_average_percent,primary,intervention_participants,10,0.0,81.584656,153.713572,12.398128,85.357143,59.52381,97.936508,"Recomputed from relative [%] rows, weekly Average column."
B12,90,B12_primary_outcome_workbook,YS_compliance_absolute_total,secondary,intervention_participants,10,0.0,981.1,175020.1,418.354037,1075.0,125.0,1668.0,"Recomputed from absolute rows, Total column."
B12,90,B12_primary_outcome_workbook,YP_attrition_rate,primary,intervention_participants,10,,0.2,,,,,,2/10. Recomputed from Feasibilty - Attrition status rows.
B12,90,B12_primary_outcome_workbook,YP_sus_total_score,primary,intervention_respondents,9,0.0,71.666667,235.9375,15.360257,70.0,50.0,95.0,Recomputed from participant SUS_total_score rows.
B12,90,B12_primary_outcome_workbook,YS_eeq_total_score_w2,secondary,intervention_participants,10,0.0,72.3,70.011111,8.367264,71.0,59.0,87.0,Recomputed from EEQ-G total score columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_eeq_total_score_w4,secondary,intervention_participants,9,1.0,77.111111,69.361111,8.328332,79.0,62.0,84.0,Recomputed from EEQ-G total score columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_eeq_total_score_w6,secondary,intervention_participants,9,1.0,73.444444,67.777778,8.232726,77.0,56.0,81.0,Recomputed from EEQ-G total score columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_eeq_total_score_w8,secondary,intervention_participants,9,1.0,77.444444,36.027778,6.002314,79.0,68.0,86.0,Recomputed from EEQ-G total score columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_eeq_total_score_w10,secondary,intervention_participants,9,1.0,80.0,38.0,6.164414,82.0,69.0,85.0,Recomputed from EEQ-G total score columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_eeq_total_score_w12,secondary,intervention_participants,8,2.0,78.375,43.125,6.566963,78.0,67.0,87.0,Recomputed from EEQ-G total score columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_amotivation_w1,secondary,intervention_participants,10,0.0,0.3,0.275,0.524404,0.0,0.0,1.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_external_w1,secondary,intervention_participants,10,0.0,0.8,0.483333,0.695222,0.75,0.0,2.25,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_introjected_w1,secondary,intervention_participants,10,0.0,1.85,1.308333,1.143824,1.875,0.0,3.75,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_identified_w1,secondary,intervention_participants,10,0.0,3.05,0.205556,0.453382,3.125,2.25,3.75,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_intrinsic_w1,secondary,intervention_participants,10,0.0,2.425,0.778472,0.882311,2.625,1.25,3.75,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_amotivation_w3,secondary,intervention_participants,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_external_w3,secondary,intervention_participants,9,1.0,0.555556,0.480903,0.693472,0.0,0.0,1.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_introjected_w3,secondary,intervention_participants,9,1.0,2.055556,1.527778,1.236033,2.5,0.0,3.75,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_identified_w3,secondary,intervention_participants,9,1.0,3.055556,0.449653,0.670562,3.0,2.0,3.75,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_intrinsic_w3,secondary,intervention_participants,9,1.0,2.944444,0.902778,0.950146,2.75,1.0,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_amotivation_w5,secondary,intervention_participants,9,1.0,0.055556,0.027778,0.166667,0.0,0.0,0.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_external_w5,secondary,intervention_participants,9,1.0,0.638889,0.798611,0.89365,0.0,0.0,2.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_introjected_w5,secondary,intervention_participants,9,1.0,1.972222,1.522569,1.233924,2.25,0.0,3.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_identified_w5,secondary,intervention_participants,9,1.0,3.416667,0.21875,0.467707,3.25,2.75,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_intrinsic_w5,secondary,intervention_participants,9,1.0,3.277778,0.288194,0.536837,3.25,2.5,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_amotivation_w7,secondary,intervention_participants,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_external_w7,secondary,intervention_participants,9,1.0,0.527778,0.663194,0.814368,0.0,0.0,2.25,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_introjected_w7,secondary,intervention_participants,9,1.0,2.194444,1.371528,1.171122,2.25,0.0,3.25,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_identified_w7,secondary,intervention_participants,9,1.0,3.416667,0.203125,0.450694,3.5,2.5,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_intrinsic_w7,secondary,intervention_participants,9,1.0,3.472222,0.303819,0.551198,3.5,2.75,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_amotivation_w9,secondary,intervention_participants,9,1.0,0.083333,0.03125,0.176777,0.0,0.0,0.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_external_w9,secondary,intervention_participants,9,1.0,0.583333,0.421875,0.649519,0.25,0.0,1.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_introjected_w9,secondary,intervention_participants,9,1.0,2.166667,1.640625,1.280869,2.5,0.0,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_identified_w9,secondary,intervention_participants,9,1.0,3.361111,0.314236,0.560568,3.5,2.5,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_intrinsic_w9,secondary,intervention_participants,9,1.0,3.361111,0.548611,0.740683,3.5,1.75,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_amotivation_w11,secondary,intervention_participants,8,2.0,0.15625,0.08817,0.296934,0.0,0.0,0.75,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_external_w11,secondary,intervention_participants,8,2.0,0.59375,0.356027,0.59668,0.5,0.0,1.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_introjected_w11,secondary,intervention_participants,8,2.0,1.75,1.589286,1.260669,1.875,0.0,3.5,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_identified_w11,secondary,intervention_participants,8,2.0,3.1875,0.370536,0.608716,3.125,2.5,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
B12,90,B12_primary_outcome_workbook,YS_breq_intrinsic_w11,secondary,intervention_participants,8,2.0,3.28125,0.329241,0.573795,3.375,2.5,4.0,Recomputed from BREQ subscore columns; -99 treated as missing.
