Trial_ID,variable_name,variable_type,brief_explanation
69,YS_evas_with_conditioning_t14,Secondary outcome,Secondary outcome: evas with conditioning t14
69,YS_evas_with_conditioning_t15,Secondary outcome,Secondary outcome: evas with conditioning t15
69,YS_evas_with_conditioning_t16,Secondary outcome,Secondary outcome: evas with conditioning t16
69,YS_evas_with_conditioning_t17,Secondary outcome,Secondary outcome: evas with conditioning t17
69,YS_evas_with_conditioning_t18,Secondary outcome,Secondary outcome: evas with conditioning t18
69,YS_evas_with_conditioning_t19,Secondary outcome,Secondary outcome: evas with conditioning t19
69,YS_evas_with_conditioning_t20,Secondary outcome,Secondary outcome: evas with conditioning t20
69,YS_evas_with_conditioning_t21,Secondary outcome,Secondary outcome: evas with conditioning t21
69,YS_evas_with_conditioning_t22,Secondary outcome,Secondary outcome: evas with conditioning t22
69,YS_evas_with_conditioning_t23,Secondary outcome,Secondary outcome: evas with conditioning t23
69,YS_evas_with_conditioning_t24,Secondary outcome,Secondary outcome: evas with conditioning t24
69,YS_evas_with_conditioning_t25,Secondary outcome,Secondary outcome: evas with conditioning t25
69,YS_evas_with_conditioning_t26,Secondary outcome,Secondary outcome: evas with conditioning t26
69,YS_evas_with_conditioning_t27,Secondary outcome,Secondary outcome: evas with conditioning t27
69,YS_evas_with_conditioning_t28,Secondary outcome,Secondary outcome: evas with conditioning t28
69,YS_evas_with_conditioning_t29,Secondary outcome,Secondary outcome: evas with conditioning t29
69,YS_evas_with_conditioning_t30,Secondary outcome,Secondary outcome: evas with conditioning t30
69,YS_evas_with_conditioning_t31,Secondary outcome,Secondary outcome: evas with conditioning t31
69,YS_evas_with_conditioning_t32,Secondary outcome,Secondary outcome: evas with conditioning t32
69,YS_evas_with_conditioning_t33,Secondary outcome,Secondary outcome: evas with conditioning t33
69,YS_evas_with_conditioning_t34,Secondary outcome,Secondary outcome: evas with conditioning t34
69,YS_evas_with_conditioning_t35,Secondary outcome,Secondary outcome: evas with conditioning t35
69,YS_evas_with_conditioning_t36,Secondary outcome,Secondary outcome: evas with conditioning t36
69,YS_evas_with_conditioning_t37,Secondary outcome,Secondary outcome: evas with conditioning t37
69,YS_evas_with_conditioning_t38,Secondary outcome,Secondary outcome: evas with conditioning t38
69,YS_evas_with_conditioning_t39,Secondary outcome,Secondary outcome: evas with conditioning t39
69,YS_evas_with_conditioning_t40,Secondary outcome,Secondary outcome: evas with conditioning t40
69,YS_evas_with_conditioning_t41,Secondary outcome,Secondary outcome: evas with conditioning t41
69,YS_evas_with_conditioning_t42,Secondary outcome,Secondary outcome: evas with conditioning t42
69,YS_evas_with_conditioning_t43,Secondary outcome,Secondary outcome: evas with conditioning t43
69,YS_evas_with_conditioning_t44,Secondary outcome,Secondary outcome: evas with conditioning t44
69,YS_evas_with_conditioning_t45,Secondary outcome,Secondary outcome: evas with conditioning t45
69,YS_evas_with_conditioning_t46,Secondary outcome,Secondary outcome: evas with conditioning t46
69,YS_evas_with_conditioning_t47,Secondary outcome,Secondary outcome: evas with conditioning t47
69,YS_evas_with_conditioning_t48,Secondary outcome,Secondary outcome: evas with conditioning t48
69,YS_evas_without_conditioning_t01,Secondary outcome,Secondary outcome: evas without conditioning t01
69,YS_evas_without_conditioning_t03,Secondary outcome,Secondary outcome: evas without conditioning t03
69,YS_evas_without_conditioning_t04,Secondary outcome,Secondary outcome: evas without conditioning t04
69,YS_evas_without_conditioning_t05,Secondary outcome,Secondary outcome: evas without conditioning t05
69,YS_evas_without_conditioning_t06,Secondary outcome,Secondary outcome: evas without conditioning t06
69,YS_evas_without_conditioning_t07,Secondary outcome,Secondary outcome: evas without conditioning t07
69,YS_evas_without_conditioning_t08,Secondary outcome,Secondary outcome: evas without conditioning t08
69,YS_evas_without_conditioning_t09,Secondary outcome,Secondary outcome: evas without conditioning t09
69,YS_evas_without_conditioning_t10,Secondary outcome,Secondary outcome: evas without conditioning t10
69,YS_evas_without_conditioning_t11,Secondary outcome,Secondary outcome: evas without conditioning t11
69,YS_evas_without_conditioning_t12,Secondary outcome,Secondary outcome: evas without conditioning t12
69,YS_evas_without_conditioning_t13,Secondary outcome,Secondary outcome: evas without conditioning t13
69,YS_evas_without_conditioning_t14,Secondary outcome,Secondary outcome: evas without conditioning t14
69,YS_evas_without_conditioning_t15,Secondary outcome,Secondary outcome: evas without conditioning t15
69,YS_evas_without_conditioning_t16,Secondary outcome,Secondary outcome: evas without conditioning t16
69,YS_evas_without_conditioning_t17,Secondary outcome,Secondary outcome: evas without conditioning t17
69,YS_evas_without_conditioning_t18,Secondary outcome,Secondary outcome: evas without conditioning t18
69,YS_evas_without_conditioning_t19,Secondary outcome,Secondary outcome: evas without conditioning t19
69,YS_evas_without_conditioning_t20,Secondary outcome,Secondary outcome: evas without conditioning t20
69,YS_evas_without_conditioning_t21,Secondary outcome,Secondary outcome: evas without conditioning t21
69,YS_evas_without_conditioning_t22,Secondary outcome,Secondary outcome: evas without conditioning t22
69,YS_evas_without_conditioning_t23,Secondary outcome,Secondary outcome: evas without conditioning t23
69,YS_evas_without_conditioning_t24,Secondary outcome,Secondary outcome: evas without conditioning t24
69,YS_evas_without_conditioning_t25,Secondary outcome,Secondary outcome: evas without conditioning t25
69,YS_evas_without_conditioning_t26,Secondary outcome,Secondary outcome: evas without conditioning t26
69,YS_evas_without_conditioning_t27,Secondary outcome,Secondary outcome: evas without conditioning t27
69,YS_evas_without_conditioning_t28,Secondary outcome,Secondary outcome: evas without conditioning t28
69,YS_evas_without_conditioning_t29,Secondary outcome,Secondary outcome: evas without conditioning t29
69,YS_evas_without_conditioning_t30,Secondary outcome,Secondary outcome: evas without conditioning t30
69,YS_evas_without_conditioning_t31,Secondary outcome,Secondary outcome: evas without conditioning t31
69,YS_evas_without_conditioning_t32,Secondary outcome,Secondary outcome: evas without conditioning t32
69,YS_evas_without_conditioning_t33,Secondary outcome,Secondary outcome: evas without conditioning t33
69,YS_evas_without_conditioning_t34,Secondary outcome,Secondary outcome: evas without conditioning t34
69,YS_evas_without_conditioning_t35,Secondary outcome,Secondary outcome: evas without conditioning t35
69,YS_evas_without_conditioning_t36,Secondary outcome,Secondary outcome: evas without conditioning t36
69,YS_evas_without_conditioning_t37,Secondary outcome,Secondary outcome: evas without conditioning t37
69,YS_evas_without_conditioning_t38,Secondary outcome,Secondary outcome: evas without conditioning t38
69,YS_evas_without_conditioning_t39,Secondary outcome,Secondary outcome: evas without conditioning t39
69,YS_evas_without_conditioning_t40,Secondary outcome,Secondary outcome: evas without conditioning t40
69,YS_evas_without_conditioning_t41,Secondary outcome,Secondary outcome: evas without conditioning t41
69,YS_evas_without_conditioning_t42,Secondary outcome,Secondary outcome: evas without conditioning t42
69,YS_evas_without_conditioning_t43,Secondary outcome,Secondary outcome: evas without conditioning t43
69,YS_evas_without_conditioning_t44,Secondary outcome,Secondary outcome: evas without conditioning t44
69,YS_evas_without_conditioning_t45,Secondary outcome,Secondary outcome: evas without conditioning t45
69,YS_evas_without_conditioning_t46,Secondary outcome,Secondary outcome: evas without conditioning t46
69,YS_evas_without_conditioning_t47,Secondary outcome,Secondary outcome: evas without conditioning t47
69,YS_evas_without_conditioning_t48,Secondary outcome,Secondary outcome: evas without conditioning t48
69,YS_peak_conditioned_pain_modulation,Secondary outcome,Secondary outcome: peak conditioned pain modulation
70,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
70,X_active_days,Baseline covariate,Baseline covariate or pre-treatment measurement: active days
70,X_age_bin,Baseline covariate,Baseline covariate or pre-treatment measurement: age bin
70,X_age_round,Baseline covariate,Baseline covariate or pre-treatment measurement: age round
70,X_arithmetic_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: arithmetic 0w
70,X_est_hours,Baseline covariate,Baseline covariate or pre-treatment measurement: est hours
70,X_go_no_go_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: go no go 0w
70,X_grammatical_reasoning_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: grammatical reasoning 0w
70,X_grand_index_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: grand index 0w
70,X_memory_span_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: memory span 0w
70,X_progressive_matrices_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: progressive matrices 0w
70,X_real_world_cognition_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: real world cognition 0w
70,X_rotations_memory_span_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: rotations memory span 0w
70,X_two_target_search_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: two target search 0w
70,YP_grand_index_delta,Primary outcome,Primary outcome: grand index delta
70,YS_arithmetic_delta,Secondary outcome,Secondary outcome: arithmetic delta
70,YS_go_no_go_delta,Secondary outcome,Secondary outcome: go no go delta
70,YS_grammatical_reasoning_delta,Secondary outcome,Secondary outcome: grammatical reasoning delta
70,YS_memory_span_delta,Secondary outcome,Secondary outcome: memory span delta
70,YS_progressive_matrices_delta,Secondary outcome,Secondary outcome: progressive matrices delta
70,YS_real_world_cognition_delta,Secondary outcome,Secondary outcome: real world cognition delta
70,YS_rotations_memory_span_delta,Secondary outcome,Secondary outcome: rotations memory span delta
70,YS_two_target_search_delta,Secondary outcome,Secondary outcome: two target search delta
71,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
71,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
71,X_antibiotic_in_2wk,Baseline covariate,Baseline covariate or pre-treatment measurement: antibiotic in 2wk
71,X_asymptomatic_bacteriuria,Baseline covariate,Baseline covariate or pre-treatment measurement: asymptomatic bacteriuria
71,X_education,Baseline covariate,Baseline covariate or pre-treatment measurement: education
71,X_gestational_age_exam,Baseline covariate,Baseline covariate or pre-treatment measurement: gestational age exam
71,X_gravida,Baseline covariate,Baseline covariate or pre-treatment measurement: gravida
71,X_living_children,Baseline covariate,Baseline covariate or pre-treatment measurement: living children
71,X_no_symptoms,Baseline covariate,Baseline covariate or pre-treatment measurement: no symptoms
71,X_previous_abortions,Baseline covariate,Baseline covariate or pre-treatment measurement: previous abortions
71,X_previous_pregnancy,Baseline covariate,Baseline covariate or pre-treatment measurement: previous pregnancy
71,X_religion,Baseline covariate,Baseline covariate or pre-treatment measurement: religion
71,X_trimester,Baseline covariate,Baseline covariate or pre-treatment measurement: trimester
71,YP_preterm_or_low_birth_weight,Primary outcome,Primary outcome: preterm or low birth weight
71,YS_birth_weight_g,Secondary outcome,Secondary outcome: birth weight g
71,YS_low_birth_weight,Secondary outcome,Secondary outcome: low birth weight
71,YS_preterm,Secondary outcome,Secondary outcome: preterm
72,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
72,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
72,X_baseline_hemoglobin,Baseline covariate,Baseline covariate or pre-treatment measurement: baseline hemoglobin
72,X_blood_loss_at_pph_diagnosis_ml,Baseline covariate,Baseline covariate or pre-treatment measurement: blood loss at pph diagnosis ml
72,X_education,Baseline covariate,Baseline covariate or pre-treatment measurement: education
72,X_gestational_age,Baseline covariate,Baseline covariate or pre-treatment measurement: gestational age
72,X_live_births,Baseline covariate,Baseline covariate or pre-treatment measurement: live births
72,X_living_children,Baseline covariate,Baseline covariate or pre-treatment measurement: living children
72,X_pph_diagnosed,Baseline covariate,Baseline covariate or pre-treatment measurement: pph diagnosed
72,X_previous_pph,Baseline covariate,Baseline covariate or pre-treatment measurement: previous pph
72,X_site,Baseline covariate,Baseline covariate or pre-treatment measurement: site
72,YP_active_bleeding_controlled_20min,Primary outcome,Primary outcome: active bleeding controlled 20min
72,YS_additional_blood_loss_ge300,Secondary outcome,Secondary outcome: additional blood loss ge300
72,YS_time_to_bleeding_stop_min,Secondary outcome,Secondary outcome: time to bleeding stop min
72,YS_total_blood_loss_ml,Secondary outcome,Secondary outcome: total blood loss ml
73,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
73,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
73,X_creatinine_pre,Baseline covariate,Baseline covariate or pre-treatment measurement: creatinine pre
73,X_egfr_pre,Baseline covariate,Baseline covariate or pre-treatment measurement: egfr pre
73,X_hb_pre,Baseline covariate,Baseline covariate or pre-treatment measurement: hb pre
73,X_height_cm,Baseline covariate,Baseline covariate or pre-treatment measurement: height cm
73,X_kad8_pre,Baseline covariate,Baseline covariate or pre-treatment measurement: kad8 pre
73,X_local_anesthesia,Baseline covariate,Baseline covariate or pre-treatment measurement: local anesthesia
73,X_pirads,Baseline covariate,Baseline covariate or pre-treatment measurement: pirads
73,X_psa,Baseline covariate,Baseline covariate or pre-treatment measurement: psa
73,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
73,X_weight_kg,Baseline covariate,Baseline covariate or pre-treatment measurement: weight kg
73,YP_call_service_satisfaction_likert,Primary outcome,Primary outcome: call service satisfaction likert
73,YS_ai_call_satisfaction_likert,Secondary outcome,Secondary outcome: ai call satisfaction likert
73,YS_complication_anxiety_stai,Secondary outcome,Secondary outcome: complication anxiety stai
73,YS_complication_anxiety_vas,Secondary outcome,Secondary outcome: complication anxiety vas
73,YS_complication_management_satisfaction_likert,Secondary outcome,Secondary outcome: complication management satisfaction likert
73,YS_complication_management_satisfaction_vas,Secondary outcome,Secondary outcome: complication management satisfaction vas
73,YS_daily_life_discomfort_d1,Secondary outcome,Secondary outcome: daily life discomfort d1
73,YS_fever_d1,Secondary outcome,Secondary outcome: fever d1
73,YS_urination_discomfort_d1,Secondary outcome,Secondary outcome: urination discomfort d1
73,YS_urination_pain_d1,Secondary outcome,Secondary outcome: urination pain d1
74,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
74,X_4m_walk_speed_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: 4m walk speed 0w
74,X_abc_balance_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: abc balance 0w
74,X_activity,Baseline covariate,Baseline covariate or pre-treatment measurement: activity
74,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
74,X_ataxia_type,Baseline covariate,Baseline covariate or pre-treatment measurement: ataxia type
74,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
74,X_eq5d_total_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: eq5d total 0w
74,X_exercise,Baseline covariate,Baseline covariate or pre-treatment measurement: exercise
74,X_height_cm,Baseline covariate,Baseline covariate or pre-treatment measurement: height cm
74,X_physiotherapy,Baseline covariate,Baseline covariate or pre-treatment measurement: physiotherapy
74,X_sara_total_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: sara total 0w
74,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
74,X_tis_total_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: tis total 0w
74,X_weight_kg,Baseline covariate,Baseline covariate or pre-treatment measurement: weight kg
74,YP_delta_sara_post,Primary outcome,Primary outcome: delta sara post
74,YP_delta_tis_post,Primary outcome,Primary outcome: delta tis post
74,YS_delta_4m_walk_speed_post,Secondary outcome,Secondary outcome: delta 4m walk speed post
74,YS_delta_abc_balance_post,Secondary outcome,Secondary outcome: delta abc balance post
74,YS_delta_eq5d_total_post,Secondary outcome,Secondary outcome: delta eq5d total post
74,YS_delta_sit_to_stand_post,Secondary outcome,Secondary outcome: delta sit to stand post
75,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
75,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
75,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
75,X_education,Baseline covariate,Baseline covariate or pre-treatment measurement: education
75,X_height_cm,Baseline covariate,Baseline covariate or pre-treatment measurement: height cm
75,X_kl_grade,Baseline covariate,Baseline covariate or pre-treatment measurement: kl grade
75,X_knee_side,Baseline covariate,Baseline covariate or pre-treatment measurement: knee side
75,X_marital_status,Baseline covariate,Baseline covariate or pre-treatment measurement: marital status
75,X_nrs_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: nrs 0m
75,X_occupation,Baseline covariate,Baseline covariate or pre-treatment measurement: occupation
75,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
75,X_symptom_duration_months,Baseline covariate,Baseline covariate or pre-treatment measurement: symptom duration months
75,X_weekly_analgesic_consumption_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: weekly analgesic consumption 0m
75,X_weight_kg,Baseline covariate,Baseline covariate or pre-treatment measurement: weight kg
75,X_womac_total_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: womac total 0m
75,YP_delta_nrs_3m,Primary outcome,Primary outcome: delta nrs 3m
75,YS_delta_nrs_1m,Secondary outcome,Secondary outcome: delta nrs 1m
75,YS_delta_womac_total_1m,Secondary outcome,Secondary outcome: delta womac total 1m
75,YS_delta_womac_total_3m,Secondary outcome,Secondary outcome: delta womac total 3m
75,YS_nrs_improved_3m,Secondary outcome,Secondary outcome: nrs improved 3m
75,YS_womac_improved_3m,Secondary outcome,Secondary outcome: womac improved 3m
76,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
76,X_academic_degree,Baseline covariate,Baseline covariate or pre-treatment measurement: academic degree
76,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
76,X_prior_spinal_punctures_observed,Baseline covariate,Baseline covariate or pre-treatment measurement: prior spinal punctures observed
76,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
76,YP_total_score_after_training,Primary outcome,Primary outcome: total score after training
76,YS_aseptic_principle_score,Secondary outcome,Secondary outcome: aseptic principle score
76,YS_confident,Secondary outcome,Secondary outcome: confident
76,YS_operating_time_min,Secondary outcome,Secondary outcome: operating time min
76,YS_operational_phase_score,Secondary outcome,Secondary outcome: operational phase score
76,YS_preoperative_preparation_score,Secondary outcome,Secondary outcome: preoperative preparation score
76,YS_proficiency_level,Secondary outcome,Secondary outcome: proficiency level
76,YS_satisfaction,Secondary outcome,Secondary outcome: satisfaction
76,YS_willing_to_apply,Secondary outcome,Secondary outcome: willing to apply
77,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
77,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
77,X_barthel_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: barthel 0w
77,X_berg_balance_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: berg balance 0w
77,X_brunel_balance_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: brunel balance 0w
77,X_center,Baseline covariate,Baseline covariate or pre-treatment measurement: center
77,X_height_cm,Baseline covariate,Baseline covariate or pre-treatment measurement: height cm
77,X_hemiparesis,Baseline covariate,Baseline covariate or pre-treatment measurement: hemiparesis
77,X_rankin_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: rankin 0w
77,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
77,X_stroke_location,Baseline covariate,Baseline covariate or pre-treatment measurement: stroke location
77,X_stroke_type,Baseline covariate,Baseline covariate or pre-treatment measurement: stroke type
77,X_trunk_impairment_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: trunk impairment 0w
77,X_weight_kg,Baseline covariate,Baseline covariate or pre-treatment measurement: weight kg
77,YP_delta_trunk_impairment_t2,Primary outcome,Primary outcome: delta trunk impairment t2
77,YS_delta_barthel_t2,Secondary outcome,Secondary outcome: delta barthel t2
77,YS_delta_berg_balance_t2,Secondary outcome,Secondary outcome: delta berg balance t2
77,YS_delta_brunel_balance_t2,Secondary outcome,Secondary outcome: delta brunel balance t2
77,YS_delta_rankin_t2,Secondary outcome,Secondary outcome: delta rankin t2
78,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
78,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
78,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
78,X_center,Baseline covariate,Baseline covariate or pre-treatment measurement: center
78,X_covid_severity_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: covid severity 0d
78,X_days_symptom_onset,Baseline covariate,Baseline covariate or pre-treatment measurement: days symptom onset
78,X_dbp_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: dbp 0d
78,X_diabetes,Baseline covariate,Baseline covariate or pre-treatment measurement: diabetes
78,X_height_m,Baseline covariate,Baseline covariate or pre-treatment measurement: height m
78,X_hr_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: hr 0d
78,X_hypertension,Baseline covariate,Baseline covariate or pre-treatment measurement: hypertension
78,X_news2_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: news2 0d
78,X_o2_saturation_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: o2 saturation 0d
78,X_obesity,Baseline covariate,Baseline covariate or pre-treatment measurement: obesity
78,X_rr_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: rr 0d
78,X_sbp_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: sbp 0d
78,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
78,X_smoking,Baseline covariate,Baseline covariate or pre-treatment measurement: smoking
78,X_temperature_0d,Baseline covariate,Baseline covariate or pre-treatment measurement: temperature 0d
78,X_weight_kg,Baseline covariate,Baseline covariate or pre-treatment measurement: weight kg
78,YP_disease_progression_28d,Primary outcome,Primary outcome: disease progression 28d
78,YS_critical_progression_28d,Secondary outcome,Secondary outcome: critical progression 28d
78,YS_icu_28d,Secondary outcome,Secondary outcome: icu 28d
78,YS_mechanical_ventilation_28d,Secondary outcome,Secondary outcome: mechanical ventilation 28d
78,YS_mortality_28d,Secondary outcome,Secondary outcome: mortality 28d
78,YS_ordinal_clinical_status_28d,Secondary outcome,Secondary outcome: ordinal clinical status 28d
79,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
79,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
79,X_currently_pregnant,Baseline covariate,Baseline covariate or pre-treatment measurement: currently pregnant
79,X_education,Baseline covariate,Baseline covariate or pre-treatment measurement: education
79,X_knowledge_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: knowledge 0w
79,X_marital_status,Baseline covariate,Baseline covariate or pre-treatment measurement: marital status
79,X_number_children,Baseline covariate,Baseline covariate or pre-treatment measurement: number children
79,X_number_deliveries,Baseline covariate,Baseline covariate or pre-treatment measurement: number deliveries
79,X_number_pregnancies,Baseline covariate,Baseline covariate or pre-treatment measurement: number pregnancies
79,X_occupation,Baseline covariate,Baseline covariate or pre-treatment measurement: occupation
79,X_pregnancy_childbirth_education_experience,Baseline covariate,Baseline covariate or pre-treatment measurement: pregnancy childbirth education experience
79,X_pregnancy_complication_experience,Baseline covariate,Baseline covariate or pre-treatment measurement: pregnancy complication experience
79,X_self_efficacy_0w,Baseline covariate,Baseline covariate or pre-treatment measurement: self efficacy 0w
79,X_webtoon_reading_experience,Baseline covariate,Baseline covariate or pre-treatment measurement: webtoon reading experience
79,YP_knowledge_post,Primary outcome,Primary outcome: knowledge post
79,YS_delta_knowledge_post,Secondary outcome,Secondary outcome: delta knowledge post
79,YS_delta_self_efficacy_post,Secondary outcome,Secondary outcome: delta self efficacy post
79,YS_knowledge_followup,Secondary outcome,Secondary outcome: knowledge followup
79,YS_self_efficacy_post,Secondary outcome,Secondary outcome: self efficacy post
79,YS_total_usability,Secondary outcome,Secondary outcome: total usability
80,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
80,X_age,Baseline covariate,Baseline covariate or pre-treatment measurement: age
80,X_bmi_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi 0m
80,X_employment_status,Baseline covariate,Baseline covariate or pre-treatment measurement: employment status
80,X_gad7_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: gad7 0m
80,X_gender,Baseline covariate,Baseline covariate or pre-treatment measurement: gender
80,X_grade,Baseline covariate,Baseline covariate or pre-treatment measurement: grade
80,X_major,Baseline covariate,Baseline covariate or pre-treatment measurement: major
80,X_marital_status,Baseline covariate,Baseline covariate or pre-treatment measurement: marital status
80,X_met_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: met 0m
80,X_phq9_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: phq9 0m
80,X_pss_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: pss 0m
80,X_residence_type,Baseline covariate,Baseline covariate or pre-treatment measurement: residence type
80,X_subjective_ses,Baseline covariate,Baseline covariate or pre-treatment measurement: subjective ses
80,X_wechat_hours_day,Baseline covariate,Baseline covariate or pre-treatment measurement: wechat hours day
80,X_wemwbs_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: wemwbs 0m
80,X_who5_0m,Baseline covariate,Baseline covariate or pre-treatment measurement: who5 0m
80,X_work_hours_week,Baseline covariate,Baseline covariate or pre-treatment measurement: work hours week
80,YP_delta_bmi_6m,Primary outcome,Primary outcome: delta bmi 6m
80,YS_delta_gad7_6m,Secondary outcome,Secondary outcome: delta gad7 6m
80,YS_delta_met_6m,Secondary outcome,Secondary outcome: delta met 6m
80,YS_delta_phq9_6m,Secondary outcome,Secondary outcome: delta phq9 6m
80,YS_delta_pss_6m,Secondary outcome,Secondary outcome: delta pss 6m
80,YS_delta_wemwbs_6m,Secondary outcome,Secondary outcome: delta wemwbs 6m
80,YS_delta_who5_6m,Secondary outcome,Secondary outcome: delta who5 6m
81,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
81,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
81,X_asa,Baseline covariate,Baseline covariate or pre-treatment measurement: asa
81,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
81,X_height_m,Baseline covariate,Baseline covariate or pre-treatment measurement: height m
81,X_operating_room,Baseline covariate,Baseline covariate or pre-treatment measurement: operating room
81,X_sex,Baseline covariate,Baseline covariate or pre-treatment measurement: sex
81,X_surgery_duration_min,Baseline covariate,Baseline covariate or pre-treatment measurement: surgery duration min
81,X_weight_kg,Baseline covariate,Baseline covariate or pre-treatment measurement: weight kg
81,YP_nausea_present_24h,Primary outcome,Primary outcome: nausea present 24h
81,YS_nausea_intensity_24h,Secondary outcome,Secondary outcome: nausea intensity 24h
81,YS_rescue_medication_24h,Secondary outcome,Secondary outcome: rescue medication 24h
81,YS_rhodes_nausea_vomiting_score_24h,Secondary outcome,Secondary outcome: rhodes nausea vomiting score 24h
81,YS_vomiting_episodes_24h,Secondary outcome,Secondary outcome: vomiting episodes 24h
82,Treatment,Treatment assignment,Randomized treatment assignment; control/reference arm is first when identifiable.
82,X_age_years,Baseline covariate,Baseline covariate or pre-treatment measurement: age years
82,X_alcohol,Baseline covariate,Baseline covariate or pre-treatment measurement: alcohol
82,X_asthma,Baseline covariate,Baseline covariate or pre-treatment measurement: asthma
82,X_bmi,Baseline covariate,Baseline covariate or pre-treatment measurement: bmi
82,X_bypass_time,Baseline covariate,Baseline covariate or pre-treatment measurement: bypass time
82,X_ckd,Baseline covariate,Baseline covariate or pre-treatment measurement: ckd
82,X_copd,Baseline covariate,Baseline covariate or pre-treatment measurement: copd
82,X_cross_clamp_time,Baseline covariate,Baseline covariate or pre-treatment measurement: cross clamp time
82,X_diabetes,Baseline covariate,Baseline covariate or pre-treatment measurement: diabetes
82,X_ejection_fraction,Baseline covariate,Baseline covariate or pre-treatment measurement: ejection fraction
82,X_ethnicity,Baseline covariate,Baseline covariate or pre-treatment measurement: ethnicity
82,X_euroscore,Baseline covariate,Baseline covariate or pre-treatment measurement: euroscore
82,X_gender,Baseline covariate,Baseline covariate or pre-treatment measurement: gender
82,X_hypercholesterolemia,Baseline covariate,Baseline covariate or pre-treatment measurement: hypercholesterolemia
